DATE,DFXARC1M027SBEA
2015-12-01,928.8
2016-01-01,929.0
2016-02-01,935.8
2016-03-01,928.8
2016-04-01,937.6
2016-05-01,941.5
2016-06-01,943.5
2016-07-01,940.3
2016-08-01,941.0
2016-09-01,942.3
2016-10-01,947.8
2016-11-01,945.6
2016-12-01,945.2
2017-01-01,954.1
